rownum,material,core_size,hydro_size,surf_charge,specific_surf_area,Hsf,Ec,Ev,MeO,assay,cell_line,cell_species,cell_origin,cell_type,time,dose,viability,toxicity
001,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.001,92.5258,nonToxic
002,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.01,96.134,nonToxic
003,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,0.1,93.5567,nonToxic
004,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,1,97.6804,nonToxic
005,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,5,94.8454,nonToxic
006,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,10,96.3918,nonToxic
007,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,20,92.268,nonToxic
008,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,50,92.268,nonToxic
009,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,24,100,82.732,nonToxic
010,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.001,95.6897,nonToxic
011,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.01,94.4828,nonToxic
012,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,0.1,96.8966,nonToxic
013,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,1,99.4828,nonToxic
014,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,5,94.6552,nonToxic
015,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,10,95.431,nonToxic
016,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,20,94.3966,nonToxic
017,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,50,96.4655,nonToxic
018,Al2O3,39.7,267,36.3,64.7,-17.345,-1.51,-9.81,5.67,MTT,HCMEC,Human,Blood,Normal,12,100,91.0345,nonToxic
019,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.001,96.134,nonToxic
020,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.01,100,nonToxic
021,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,0.1,95.3608,nonToxic
022,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,1,96.6495,nonToxic
023,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,5,74.7423,nonToxic
024,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,10,43.299,Toxic
025,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,20,15.2062,Toxic
026,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,50,13.6598,Toxic
027,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,24,100,13.6598,Toxic
028,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.001,96.9828,nonToxic
029,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.01,94.6552,nonToxic
030,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,0.1,95.431,nonToxic
031,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,1,98.2759,nonToxic
032,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,5,82.2414,nonToxic
033,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,10,62.3276,nonToxic
034,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,20,44.4828,Toxic
035,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,50,15.7759,Toxic
036,CuO,46.3,239,42.8,24.1,-1.609,-5.17,-6.51,5.87,MTT,HCMEC,Human,Blood,Normal,12,100,13.9655,Toxic
037,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,0.001,96.8912,nonToxic
038,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,0.01,98.1865,nonToxic
039,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,0.1,100.2591,nonToxic
040,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,1,95.8549,nonToxic
041,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,5,90.9326,nonToxic
042,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,10,90.9326,nonToxic
043,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,20,94.3005,nonToxic
044,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,50,94.5596,nonToxic
045,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,24,100,91.9689,nonToxic
046,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,0.001,96.6234,nonToxic
047,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,0.01,96.3636,nonToxic
048,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,0.1,98.7013,nonToxic
049,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,1,98.7013,nonToxic
050,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,5,100.7792,nonToxic
051,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,10,100.4329,nonToxic
052,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,20,98.7013,nonToxic
053,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,50,99.7403,nonToxic
054,Fe2O3,42.5,957,-8.2,82.8,-8.512,-4.99,-6.99,5.98,MTT,HCMEC,Human,Blood,Normal,12,100,98.0087,nonToxic
055,Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,72,0,100,nonToxic
056,Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,72,1,95,nonToxic
057,Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,72,10,91,nonToxic
058,Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,72,100,88,nonToxic
059,Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,24,0,100,nonToxic
060,Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,24,1,96.376,nonToxic
061,Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,24,10,95.302,nonToxic
062,Fe3O4,10,80,-35,110,-11.59,-5,-6.85,5.78,Alamar_blue,A549,Human,Lung,Cancer,24,100,93.691,nonToxic
063,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,0.001,99.4819,nonToxic
064,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,0.01,101.5544,nonToxic
065,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,0.1,93.5233,nonToxic
066,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,1,96.6321,nonToxic
067,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,5,91.9689,nonToxic
068,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,10,93.5233,nonToxic
069,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,20,90.1554,nonToxic
070,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,50,89.8964,nonToxic
071,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,24,100,93.7824,nonToxic
072,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,0.001,99.3939,nonToxic
073,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,0.01,96.2771,nonToxic
074,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,0.1,99.2208,nonToxic
075,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,1,101.2987,nonToxic
076,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,5,97.8355,nonToxic
077,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,10,100.7792,nonToxic
078,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,20,97.4892,nonToxic
079,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,50,99.5671,nonToxic
080,Fe3O4,46.8,1025,1.7,147.4,-11.59,-5,-6.85,5.78,MTT,HCMEC,Human,Blood,Normal,12,100,97.8355,nonToxic
081,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,0.01,91.5663,nonToxic
082,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,0.1,115.6627,nonToxic
083,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,1,101.4056,nonToxic
084,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,10,85.9438,nonToxic
085,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,25,94.9799,nonToxic
086,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,50,61.245,nonToxic
087,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,75,53.6145,nonToxic
088,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,MeT_5A,Human,Mesothelium,Normal,24,100,67.8715,nonToxic
089,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,0.01,107.4297,nonToxic
090,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,0.1,107.6305,nonToxic
091,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,1,113.253,nonToxic
092,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,10,109.4377,nonToxic
093,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,25,105.2209,nonToxic
094,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,50,96.3855,nonToxic
095,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,75,91.3655,nonToxic
096,SiO2,33.5,120,-47.6,576.23,-9.41,-2.02,-11.12,6.19,MTT,A549,Human,Lung,Cancer,24,100,91.9679,nonToxic
097,SiO2,369,546,-38.7,9,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,0,94.2,nonToxic
098,SiO2,369,546,-38.7,9,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,1440,90.6,nonToxic
099,SiO2,369,546,-38.7,9,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,0,94.1,nonToxic
100,SiO2,369,546,-38.7,9,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,1440,85.6,nonToxic
101,SiO2,27.5,75.1,-29.5,65,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,0,94.2,nonToxic
102,SiO2,27.5,75.1,-29.5,65,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,200,91.9,nonToxic
103,SiO2,27.5,75.1,-29.5,65,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,0,94.1,nonToxic
104,SiO2,27.5,75.1,-29.5,65,-9.41,-2.02,-11.12,6.19,LDH,BEAS_2B,Human,Lung,Normal,20,200,91.6,nonToxic
105,SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,0,101.28,nonToxic
106,SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,0.001,102.24,nonToxic
107,SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,0.01,101.28,nonToxic
108,SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,0.1,96.48,nonToxic
109,SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,1,98.4,nonToxic
110,SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,10,97.92,nonToxic
111,SiO2,50,79,-13.2,108.3,-9.41,-2.02,-11.12,6.19,Alamar_blue,A549,Human,Lung,Cancer,24,100,99.36,nonToxic
112,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,0,100,nonToxic
113,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,20,90,nonToxic
114,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,40,122.2222,nonToxic
115,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,60,111.1111,nonToxic
116,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,80,127.7778,nonToxic
117,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,100,142.2222,nonToxic
118,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,120,115.5556,nonToxic
119,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,24,150,151.1111,nonToxic
120,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,0,100,nonToxic
121,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,20,116.6667,nonToxic
122,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,40,110,nonToxic
123,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,60,104.4444,nonToxic
124,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,80,111.1111,nonToxic
125,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,100,122.2222,nonToxic
126,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,120,121.1111,nonToxic
127,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,6,150,121.1111,nonToxic
128,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,3,0,100,nonToxic
129,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,3,20,110,nonToxic
130,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,3,40,120,nonToxic
131,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,3,60,115.5556,nonToxic
132,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,3,80,114.4444,nonToxic
133,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,3,100,122.2222,nonToxic
134,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,3,120,121.1111,nonToxic
135,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,NRU,SH_SY5Y,Human,Bone,Cancer,3,150,116.6667,nonToxic
136,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,MTT,SH_SY5Y,Human,Bone,Cancer,24,0,100,nonToxic
137,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,MTT,SH_SY5Y,Human,Bone,Cancer,24,20,82.2599,nonToxic
138,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,MTT,SH_SY5Y,Human,Bone,Cancer,24,40,76.7232,nonToxic
139,TiO2,25,504.5,-10.7,210,-9.779,-4.16,-7.49,5.77,MTT,SH_SY5Y,Human,Bone,Cancer,24,60,83.8418,nonToxic
